Event	ID	Name			Wwise Object Path	Notes
	1305133589	player_jump			\Default Work Unit\player_jump	
	1730208058	player_footsteps			\Default Work Unit\player_footsteps	

Switch Group	ID	Name			Wwise Object Path	Notes
	63790334	surfacetype			\Default Work Unit\surfacetype	

Switch	ID	Name	Switch Group			Notes
	687380132	soil	surfacetype			
	2144363834	rock	surfacetype			
	2473969246	metal	surfacetype			
	4248645337	grass	surfacetype			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3038182	169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (8aeaa1cdc3eb0370)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (8aeaa1cdc3eb0370)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\grass\169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (8aeaa1cdc3eb0370)		31806
	5532901	169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (96a7dccaa40c0b0b)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (96a7dccaa40c0b0b)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\grass\169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (96a7dccaa40c0b0b)		32292
	92426416	289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (f1ccdeab8d3eec92)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (f1ccdeab8d3eec92)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\rock\289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (f1ccdeab8d3eec92)		99688
	144798895	289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (5f8cc6ca8ebec914)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (5f8cc6ca8ebec914)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\rock\289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (5f8cc6ca8ebec914)		94990
	166272354	237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (ed501c4babe5195b)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (ed501c4babe5195b)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\metal\237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (ed501c4babe5195b)		75784
	313449130	S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (ad753d2446a75e02)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (ad753d2446a75e02)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\soil\S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (ad753d2446a75e02)		100156
	316666119	S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (47d52509e4e5919a)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (47d52509e4e5919a)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\soil\S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (47d52509e4e5919a)		96664
	396409922	289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (5280eaf905fcf1ba)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (5280eaf905fcf1ba)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\rock\289_Foley_Footsteps_Rocks_Sneaker_Jump_Land_On_Two_Feet_Close Rendered (5280eaf905fcf1ba)		98750
	403774128	Little Fighter Guy - Vocalizations - Jump Lift Push_09	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\Little Fighter Guy - Vocalizations - Jump Lift Push_09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jump\Little Fighter Guy - Vocalizations - Jump Lift Push_09		69944
	586601422	237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (c9efa99ebf1a8816)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (c9efa99ebf1a8816)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\metal\237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (c9efa99ebf1a8816)		74994
	653581047	169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (ab7c2930e8b6f073)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (ab7c2930e8b6f073)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\grass\169_Foley_Footsteps_Grass_Sneaker_Walk_Fast_Run_Jog_Close Rendered (ab7c2930e8b6f073)		30002
	782665444	S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (95cca6a4350c17f)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (95cca6a4350c17f)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\soil\S23_SFX_Footsteps_Snow_Singles_Sequence Rendered (95cca6a4350c17f)		94208
	858179638	237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (9b84dc6eec7cb2e0)	Y:\Desktop\Game Audio Test Projects\UE4Wwise_TestProj_3D_1\UE4Wwise_TProj_3D_1\UE4Wwise_TProj_3D_1_WwiseProject\.cache\Windows\SFX\237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (9b84dc6eec7cb2e0)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\footsteps\metal\237_Foley_Footsteps_Metal_Boot_Walk_Normal_Close Rendered (9b84dc6eec7cb2e0)		74026

